name,street,city,state,zip,latitude,longitude,facility_type,offers_methadone,offers_buprenorphine,offers_naltrexone,accepts_medicaid
Human Resources Development Institute,11352 South State Street,Chicago,IL,60628,41.6873334,-87.6233228,SA,False,True,True,True
Eva Mae Recovery Hope Inc,10723 South Halsted Street,Chicago,IL,60628,41.6988601,-87.642196,"OTP, SA",True,False,False,True
Midway Medical Center LLC,2 W. 103,Chicago,IL,60628,41.7074277,-87.623767,OTP,True,False,False,False
Human Resources Development Institute,2311 East 98th Street,Chicago,IL,60617,41.7161254,-87.5671998,SA,False,True,True,True
"Drexel Counseling Services, Inc.",936 East 93rd Street,Chicago,IL,60619,41.7259474,-87.6011212,"OTP, SA",True,True,False,True
South Shore Hospital,8012 South Crandon Ave.,Chicago,IL,60617,41.749519,-87.568831,"OTP, SA",True,False,False,True
Nuway Community Services Inc,110 East 79th Street,Chicago,IL,60619,41.7512652,-87.620726,"OTP, SA",True,False,False,True
IJEGBA Community Inc.,1950 E. 75th St.,Chicago,IL,60649,41.758938,-87.577228,OTP,True,False,False,False
Renewed Hope Community Services,626 East 71st Street,Chicago,IL,60619,41.7659984,-87.6093528,"OTP, SA",True,False,False,True
Friend Family Health Center,6250 South Cottage Grove,Chicago,IL,60637,41.7807507,-87.6062743,"MH, SA",False,True,True,True
Bridging the Tys to Jordan Inc,5500 South Indiana Avenue,Chicago,IL,60637,41.7941509,-87.6211849,"MH, SA",False,True,True,True
"Human Resources Development Institute, Inc. (BRASS I)",340 East 51st St.,Chicago,IL,60615,41.802271,-87.618318,"MH, OTP, SA",True,False,True,True
Family Guidance Centers Inc,2630 South Wabash Avenue,Chicago,IL,60616,41.8445823,-87.6256932,"OTP, SA",True,True,True,True
Gateway Foundation,415 North Dearborn Street,Chicago,IL,60654,41.8897621,-87.6293352,"MH, SA",False,True,True,True
Rosecrance Therapies,320 West Ohio Street,Chicago,IL,60654,41.8925435,-87.6367553,SA,False,True,True,True
Center for Addictive Problems,609 North Wells Street,Chicago,IL,60654,41.892761,-87.634084,"OTP, SA",True,True,False,True
Family Guidance Centers Inc,310 West Chicago Avenue,Chicago,IL,60654,41.89683,-87.636283,SA,True,True,True,True
"Family Guidance Centers, Inc.",310 West Chicago Ave.,Chicago,IL,60654,41.8991,-87.6364,OTP,True,False,False,False
Heartland Wellness Center,2068 Lucas Parkway,Lowell,IN,46356,41.286835,-87.3928172,"MH, SA",False,True,True,True
Recovery Works,201 West 89th Avenue,Merrillville,IN,46410,41.4569459,-87.3383785,SA,False,True,True,True
CleanSlate Centers,8601 Connecticut Avenue,Merrillville,IN,46410,41.4617607,-87.3328055,SA,False,True,True,True
Regional Health Systems,8555 Taft Street,Merrillville,IN,46410,41.4634324,-87.3634698,"MH, SA",False,True,True,True
